date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:59	34286/34286	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202023%2016:26:59%20GMT	https://bitfxf.com/register	C:/Users/hp/Desktop/track/investment/bitfxf.com/register.html	(from https://bitfxf.com/)
17:26:59	19796/19796	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202023%2016:27:00%20GMT	https://bitfxf.com/about	C:/Users/hp/Desktop/track/investment/bitfxf.com/about.html	(from https://bitfxf.com/)
17:27:00	19893/19893	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202023%2016:27:00%20GMT	https://bitfxf.com/faq	C:/Users/hp/Desktop/track/investment/bitfxf.com/faq.html	(from https://bitfxf.com/)
17:27:01	21187/21187	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202023%2016:27:00%20GMT	https://bitfxf.com/contact	C:/Users/hp/Desktop/track/investment/bitfxf.com/contact.html	(from https://bitfxf.com/)
17:27:01	240701/240701	---M--	200	added ('OK')	image/jpeg	etag:%223ac3d-6252cd72-52bc17c063558ee9;;;%22	https://bitfxf.com/storage/app/public/photos/b9158Babout.jpg	C:/Users/hp/Desktop/track/investment/bitfxf.com/storage/app/public/photos/b9158Babout.jpg	(from https://bitfxf.com/)
17:27:01	3173/3173	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c65-6252cd72-ddac3550b4a4d2fc;gz%22	https://bitfxf.com/temp/images/icon/key.svg	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/images/icon/key.svg	(from https://bitfxf.com/)
17:27:02	2265/2265	---M-Z	200	added ('OK')	image/svg+xml	etag:%228d9-6252cd72-5df2922986696841;gz%22	https://bitfxf.com/temp/images/icon/locked.svg	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/images/icon/locked.svg	(from https://bitfxf.com/)
17:27:03	141865/141865	---M--	200	added ('OK')	image/png	etag:%2222a29-6252cd72-b284fb315950ab8d;;;%22	https://bitfxf.com/temp/images/app/laptop.png	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/images/app/laptop.png	(from https://bitfxf.com/)
17:27:04	31447/31447	---M-Z	200	added ('OK')	text/plain	etag:%227ad7-6252cd72-614123a124f8e216;gz%22	https://bitfxf.com/storage/app/public/photos/SIu0JZ01.jpg1635329714	C:/Users/hp/Desktop/track/investment/bitfxf.com/storage/app/public/photos/SIu0JZ01.jpg1635329714	(from https://bitfxf.com/)
17:27:05	89476/89476	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d84-6252cd72-9ded3abfba71b9af;gz%22	https://bitfxf.com/temp/js/jquery-3.5.1.min.js	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/js/jquery-3.5.1.min.js	(from https://bitfxf.com/)
17:27:06	39727/39727	---M-Z	200	added ('OK')	text/plain	etag:%229b2f-6252cd72-ca8e5239d3c4f84;gz%22	https://bitfxf.com/storage/app/public/photos/upload-testimonial-1.jpg1617292794	C:/Users/hp/Desktop/track/investment/bitfxf.com/storage/app/public/photos/upload-testimonial-1.jpg1617292794	(from https://bitfxf.com/)
17:27:06	84152/84152	---M-Z	200	added ('OK')	application/x-javascript	etag:%22148b8-6252cd72-f458e695c1de5162;gz%22	https://bitfxf.com/temp/js/bootstrap.bundle.min.js	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/js/bootstrap.bundle.min.js	(from https://bitfxf.com/)
17:27:06	44342/44342	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad36-6252cd72-4d3c9d585b4c3a4b;gz%22	https://bitfxf.com/temp/js/owl.carousel.min.js	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/js/owl.carousel.min.js	(from https://bitfxf.com/)
17:27:07	1647/1647	---M-Z	200	added ('OK')	application/x-javascript	etag:%2266f-6252cd72-c1d2ecc9668c827c;gz%22	https://bitfxf.com/temp/js/owl.init.js	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/js/owl.init.js	(from https://bitfxf.com/)
17:27:07	541173/541173	---M--	200	added ('OK')	image/png	etag:%22841f5-6252cd72-cf6167f873410d93;;;%22	https://bitfxf.com/storage/app/public/photos/iAwfKeabout.png	C:/Users/hp/Desktop/track/investment/bitfxf.com/storage/app/public/photos/iAwfKeabout.png	(from https://bitfxf.com/)
17:27:08	75779/75779	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212803-6252cd72-fcd35dcd584d199b;gz%22	https://bitfxf.com/temp/js/feather.min.js	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/js/feather.min.js	(from https://bitfxf.com/)
